Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1966,10,1,983,NA,Inez,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,9,3,950,NA,Beulah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1968,10,2,977,NA,Gladys,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,8,5,909,NA,Camille,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0
1969,9,1,980,NA,Gerda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,8,3,945,NA,Celia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1971,9,2,978,NA,Edith,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,9,1,979,NA,Fern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1971,9,1,995,NA,Ginger,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1972,6,1,980,NA,Agnes,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1974,9,3,952,NA,Carmen,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,9,3,955,NA,Eloise,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,8,1,980,NA,Belle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,9,1,995,NA,Babe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,1,986,NA,Bob,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,970,NA,David,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1979,9,3,946,NA,Frederic,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1980,8,3,945,100,Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
